4724,,,,,,,,,,,,,,,,385,424,578,568,,NATIONAL AVERAGE:,,"$8,259",382,140,29,3,2,91,33,18,72,121,7,8,13,8,1,36,6,12,20,1,50,10,
Name,Charter #,Peer Group,Metropolitan Statistical Area,City,Country,State / Prov,Region,$ Total Assets,Asset Class,# Members,$ Total Share Deposits,# Share Deposit Accounts,$ Total Loans,# Loan Accounts,% Loans to Shares,CDCU?,CDFI?,CDCU / CDFI,HPCU,$ Average Assets per Member,# Average Accounts per Member,$ Net Earnings per Member,$ Average Balance per Account,Target,Fall 2025    Target,Reached out to?,Sponsor,On Advisory Board,Invests in Curql?,Invests Directly in Startups?,Works with Early Startups?,MDC Owner?,Juntos Avanzamos?,Fintech Accel?,Purchasing Banks?,Merging?,CUs Unite?,Interim CEO?,New CEO?,Tech Forward?,Tech Curious?,We Have Connections?,Showed Coalition Interest?,Active Coalition Member Nearby?,Talked to Us Before?,Notes?
United FCU (MI),6288,6,St Joseph,,USA,MI,Midwest,"$3,921,709,970",Large,"184,158","$3,278,665,701","385,313","$2,934,159,531","107,354",89.5%,,,,Y,"$21,295",2.68,$33.78,"$12,611",,,,,,,,,,,,,,,,,,,,,,,
EECU (TX),67928,6,Dallas,Ft Worth,USA,TX,South Central,"$3,849,745,938",Large,"282,298","$3,350,296,997","436,254","$3,036,381,752","125,151",90.6%,,,,,"$13,637",1.99,$39.77,"$11,376",Y,,,,,,,,,Y,,,,,,,,,,,,,
Valley Strong CU,68712,6,Bakersfield,,USA,CA,Western,"$3,845,125,172",Large,"325,608","$3,194,766,873","720,324","$2,841,353,434","320,561",88.9%,,Y,Y,,"$11,809",3.20,$48.21,"$5,799",Y,Y,,,,,,,,,,,,,,,,,,,,,
Innovation FCU,,,Swift Current,,Canada,SK,Midwest,"C$3,788,005,213",Large,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
ORNL FCU,5797,6,Oak Ridge,,USA,TN,Southeast,"$3,774,662,875",Large,"202,563","$3,163,858,133","447,026","$3,105,137,157","90,045",98.1%,,,,Y,"$18,635",2.65,$49.07,"$11,673",,,,,,,,,,,,,,,,,,,,,,,
Navigant,62882,6,Smithfield,,USA,RI,New England,"$3,748,037,388",Large,"150,214","$3,286,079,883","253,028","$3,176,444,655","66,843",96.7%,,,,,"$24,951",2.13,$28.15,"$20,204",,,,,,,,,,,,,,,,,,,,,,,
Grow Financial FCU (Grow Financial),9976,6,Tampa,,USA,FL,Southeast,"$3,720,686,360",Large,"268,566","$2,897,032,680","496,794","$2,643,314,751","117,382",91.2%,Y,Y,Y,,"$13,854",2.29,$28.46,"$9,021",Y,,,,,,,,,,,,,,,,,,,,,,
UNIFY Financial CU,15732,6,Los Angeles,Manhattan Beach,USA,CA,Western,"$3,679,533,654",Large,"258,968","$3,188,418,766","488,789","$3,148,415,506","130,345",98.7%,,,,,"$14,208",2.39,$4.35,"$10,235",Y,,,,,Y,,,Y,,,,,,,,,,,,,,
Michigan Schools and Government CU (MSGCU),62049,6,Detroit,Clinton Township,USA,MI,Midwest,"$3,668,109,791",Large,"149,827","$2,968,162,415","331,608","$3,130,486,712","136,692",105.5%,,,,Y,"$24,482",3.13,$62.79,"$13,023",Y,Y,,,,,,,,,,,,,,,,,,,,,
CoVantage CU,66848,6,Antigo,,USA,WI,Midwest,"$3,640,083,436",Large,"167,866","$3,074,121,980","366,119","$2,831,482,048","138,735",92.1%,Y,Y,Y,Y,"$21,684",3.01,$31.17,"$11,698",,,,,,,Y,,Y,,,,,,,,,,,,,,
CU of Southern California (CU SoCal),68456,6,Los Angeles,Whittier,USA,CA,Western,"$3,590,546,576",Large,"154,852","$2,343,900,344","331,950","$1,679,614,826","75,809",71.7%,,,,Y,"$23,187",2.63,$93.12,"$9,867",Y,,,,,,,,,,,,,,,,,,,,,,
Empower FCU (NY),3025,6,Syracuse,,USA,NY,Mid-Atlantic,"$3,583,765,529",Large,"266,853","$3,017,027,501","533,229","$2,716,434,291","156,795",90.0%,,Y,Y,Y,"$13,430",2.59,$31.50,"$8,309",Y,Y,,,,,,,,,,,,,,,,,Y,,,,"Nate's CU growing up, now with new executive management from Vystar!"
Consumers Cooperative CU (Consumers CU) (CCU) (IL),68588,6,Chicago,Gurnee,USA,IL,Midwest,"$3,577,606,969",Large,"222,889","$2,746,289,732","396,747","$2,485,923,100","133,800",90.5%,,,,,"$16,051",2.38,$15.16,"$9,862",,,,,,,,,Y,,,,,,,,,,,,,,
Premier America CU,68428,6,Los Angeles,Chatsworth,USA,CA,Western,"$3,561,855,489",Large,"111,096","$2,966,366,496","224,132","$2,886,895,054","58,455",97.3%,Y,,Y,,"$32,061",2.54,-$20.78,"$20,713",Y,,,,,,,,,Y,,,,,,,,,,,,,
Southern Energy CU,62728,6,Birmingham,,USA,AL,Southeast,"$3,521,983,657",Large,"86,732","$3,294,100,438","171,171","$910,203,738","35,409",27.6%,,,,,"$40,608",2.38,$35.90,"$20,352",Y,,,,,,,,,,,,,,,Y,,,,,Y,,
Provident,66343,6,Redwood City,,USA,CA,Western,"$3,519,814,851",Large,"135,911","$2,887,458,387","284,128","$2,524,696,522","51,555",87.4%,,,,,"$25,898",2.47,$4.97,"$16,123",,,,,,,,,,,,,,,,,,,,,,,
Rogue CU,68660,6,Medford,,USA,OR,Cascadia,"$3,476,238,440",Large,"208,347","$2,903,731,879","828,621","$1,967,684,897","128,056",67.8%,,Y,Y,,"$16,685",4.59,$19.08,"$5,092",Y,Y,,,,,,,,,,,,,,,,,,,,,
Arizona Financial,68730,6,Phoenix,,USA,AZ,Western,"$3,468,544,885",Large,"167,076","$2,897,148,329","512,827","$1,816,300,145","93,219",62.7%,,,,,"$20,760",3.63,$41.90,"$7,777",,,,,,,,,,,,,,,,,,,,,,,
Metro CU (MA),66364,6,Chelsea,,USA,MA,New England,"$3,457,401,313",Large,"209,002","$2,571,082,548","348,290","$2,962,503,935","67,492",115.2%,,,,,"$16,542",1.99,$11.89,"$13,309",,,,,,,,,,Y,,,,,,,,,,,,,
Elevations CU,68565,6,Denver,Boulder,USA,CO,Western,"$3,446,854,590",Large,"178,528","$2,586,017,786","355,772","$2,544,922,257","65,431",98.4%,,,,,"$19,307",2.36,$48.72,"$12,182",Y,,,,,,,,,,,,,,,,,,,,,,
California Coast CU,66584,6,San Diego,,USA,CA,Western,"$3,439,943,154",Large,"202,396","$3,058,503,490","446,904","$2,256,828,439","110,857",73.8%,,,,Y,"$16,996",2.76,$20.58,"$9,530",Y,,,,,,,,,,,,,,,,,,,,,,
OneAZ CU,61315,6,Phoenix,,USA,AZ,Western,"$3,366,446,157",Large,"190,090","$2,999,890,150","403,002","$2,173,429,461","67,278",72.5%,Y,,Y,,"$17,710",2.47,$41.32,"$11,001",Y,,,,,Y,,,,,,Y,,,,,,,,,,,
Oregon Community CU (OCCU),65856,6,Eugene,,USA,OR,Cascadia,"$3,366,396,343",Large,"262,770","$2,631,070,668","515,729","$2,989,882,444","180,715",113.6%,,,,,"$12,811",2.65,$15.02,"$8,071",Y,Y,,,,,,,,,,,,,,,,,,,,,
