4724,,,,,,,,,,,,,,,,385,424,578,568,,NATIONAL AVERAGE:,,"$8,259",382,140,29,3,2,91,33,18,72,121,7,8,13,8,1,36,6,12,20,1,50,10,
Name,Charter #,Peer Group,Metropolitan Statistical Area,City,Country,State / Prov,Region,$ Total Assets,Asset Class,# Members,$ Total Share Deposits,# Share Deposit Accounts,$ Total Loans,# Loan Accounts,% Loans to Shares,CDCU?,CDFI?,CDCU / CDFI,HPCU,$ Average Assets per Member,# Average Accounts per Member,$ Net Earnings per Member,$ Average Balance per Account,Target,Fall 2025    Target,Reached out to?,Sponsor,On Advisory Board,Invests in Curql?,Invests Directly in Startups?,Works with Early Startups?,MDC Owner?,Juntos Avanzamos?,Fintech Accel?,Purchasing Banks?,Merging?,CUs Unite?,Interim CEO?,New CEO?,Tech Forward?,Tech Curious?,We Have Connections?,Showed Coalition Interest?,Active Coalition Member Nearby?,Talked to Us Before?,Notes?
Democracy,1407,5,Alexandria,,USA,VA,Mid-Atlantic,"$192,729,607",Small,"12,716","$154,166,842","24,162","$146,968,172","15,804",95.3%,,Y,Y,,"$15,156",3.14,$1.47,"$7,535",,,,,,,,,,,,,,,,,,,,,,,
Atlantic City,16009,5,Lander,,USA,WY,Western,"$192,335,214",Small,"11,986","$167,572,033","25,436","$137,802,075","5,394",82.2%,,,,Y,"$16,047",2.57,$46.52,"$9,905",,,,,,,,,,,,,,,,,,,,,,,
Texasgulf,2322,5,Wharton,,USA,TX,South Central,"$192,262,528",Small,"14,547","$167,490,760","25,699","$117,990,628","7,317",70.4%,,,,,"$13,217",2.27,$25.72,"$8,647",,,,,,,,,,,,,,,,,,,,,,,
Spirit Of Alaska,13583,5,Fairbanks,,USA,AK,Cascadia,"$192,225,022",Small,"9,394","$166,105,502","19,127","$115,618,056","3,434",69.6%,,,,,"$20,463",2.40,$39.86,"$12,487",,,,,,,,,,,,,,,,,,,,,,,
Xcel,16218,5,Bloomfield,,USA,NJ,Mid-Atlantic,"$192,221,303",Small,"12,142","$163,225,540","23,936","$117,133,196","7,804",71.8%,,,,Y,"$15,831",2.61,$6.13,"$8,833",,,,,,,,,,,,,,,,,,,,,,,
Success,12808,5,Blytheville,,USA,AR,South Central,"$191,902,379",Small,"23,447","$168,153,514","42,105","$127,584,616","7,561",75.9%,,,,,"$8,185",2.12,$13.56,"$5,955",,,,,,,,,,,,,,,,,,,,,,,
Transwest,66705,5,Salt Lake City,,USA,UT,Western,"$191,702,381",Small,"15,524","$171,242,130","27,850","$147,568,718","9,426",86.2%,,,,,"$12,349",2.40,$94.33,"$8,553",,,,,,,,,,,,,,,,,,,,,,,
Naheola,62661,5,Pennington,,USA,AL,Southeast,"$191,628,619",Small,"12,040","$150,716,206","17,593","$146,698,097","4,907",97.3%,,,,,"$15,916",1.87,$56.40,"$13,218",,,,,,,,,,,,,,,,,,,,,,,
Downriver Community,4853,5,Ecorse,,USA,MI,Midwest,"$190,865,601",Small,"12,966","$183,967,369","28,352","$69,798,571","14,271",37.9%,,,,,"$14,720",3.29,$19.37,"$5,954",,,,,,,,,,,,,,,,,,,,,,,
Tri County Area,6269,5,Pottstown,,USA,PA,Mid-Atlantic,"$190,311,095",Small,"12,660","$172,940,939","26,171","$106,389,412","9,045",61.5%,,,,,"$15,032",2.78,$52.55,"$7,932",,,,,,,,,,,,,,,,,,,,,,,
Eco,65464,5,Birmingham,,USA,AL,Southeast,"$190,054,001",Small,"16,292","$179,621,674","31,970","$93,889,410","13,506",52.3%,,,,,"$11,665",2.79,$11.20,"$6,014",,,,,,,,,,,,,,,,,,,,,,,
First Financial FCU (NJ),1021,5,Freehold,,USA,NJ,Mid-Atlantic,"$189,918,070",Small,"15,906","$182,370,146","28,298","$106,465,919","6,756",58.4%,,,,,"$11,940",2.20,$47.63,"$8,240",,,,,,,,,,,,,,,,,,,,,,,
Heartland,64168,5,Inver Grove Hei,,USA,MN,Midwest,"$189,406,408",Small,"10,933","$163,001,562","21,567","$114,687,394","46,923",70.4%,,,,,"$17,324",6.26,$5.31,"$4,054",,,,,,,,,,,,,,,,,,,,,,,
Fire Police City County,21593,5,Fort Wayne,,USA,IN,Midwest,"$189,387,113",Small,"11,373","$167,541,282","33,210","$135,253,013","7,647",80.7%,,,,,"$16,652",3.59,$50.12,"$7,411",,,,,,,,,,,,,,,,,,,,,,,
Aac,62217,5,Grand Rapids,,USA,MI,Midwest,"$189,169,510",Small,"14,874","$143,735,373","31,223","$125,777,335","8,438",87.5%,,,,,"$12,718",2.67,$34.14,"$6,795",,,,,,,,,,,,,,,,,,,,,,,
Aim,64886,5,Dubuque,,USA,IA,Midwest,"$188,902,763",Small,"13,567","$164,780,687","27,252","$127,122,932","7,916",77.1%,,,,Y,"$13,924",2.59,$31.78,"$8,300",,,,,,,,,,,,,,,,,,,,,,,
Merco,64766,5,Merced,,USA,CA,Western,"$188,247,284",Small,"14,737","$159,718,163","24,886","$131,122,015","8,112",82.1%,Y,Y,Y,,"$12,774",2.24,$10.33,"$8,814",,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz Community CU,64029,5,Santa Cruz,,USA,CA,Western,"$187,613,080",Small,"15,175","$158,954,383","22,065","$149,186,370","6,891",93.9%,Y,Y,Y,,"$12,363",1.91,-$26.06,"$10,642",,,,,,,,,,Y,,,,,,,,,,,,,
Quest,19508,5,Kenton,,USA,OH,Midwest,"$187,416,181",Small,"15,926","$166,630,409","38,970","$127,753,411","8,167",76.7%,,,,,"$11,768",2.96,$17.12,"$6,245",,,,,,,,,,,,,,,,,,,,,,,
Western Sun,4202,5,Broken Arrow,,USA,OK,South Central,"$187,281,001",Small,"24,805","$154,133,285","37,594","$146,749,024","10,569",95.2%,,,,,"$7,550",1.94,$2.48,"$6,247",,,,,,,,,,,,,,,,,,,,,,,
Four Points,24753,5,Omaha,,USA,NE,Midwest,"$186,843,938",Small,"7,999","$131,902,830","12,708","$118,214,521","4,744",89.6%,,,,,"$23,358",2.18,-$13.81,"$14,332",,,,,,,,,,,,,,,,,,,,,,,
Achieve Financial,61256,5,Berlin,,USA,CT,New England,"$186,772,164",Small,"17,673","$157,832,247","35,062","$127,570,597","10,642",80.8%,,,,,"$10,568",2.59,-$5.50,"$6,245",,,,,,,,,,,,,,,,,,,,,,,
Bluestone,2874,5,Sioux Falls,,USA,SD,Midwest,"$186,255,313",Small,"11,227","$162,884,213","25,024","$117,599,809","9,704",72.2%,,,,,"$16,590",3.09,$24.67,"$8,077",,,,,,,,,,,,,,,,,,,,,,,
Heritage South,68586,5,Sylacauga,,USA,AL,Southeast,"$186,253,692",Small,"15,568","$171,296,478","29,736","$128,631,315","8,784",75.1%,,,,,"$11,964",2.47,$2.62,"$7,786",,,,,,,,,,,,,,,,,,,,,,,
Endurance,13898,5,Duncan,,USA,OK,South Central,"$185,757,202",Small,"14,043","$161,532,190","23,791","$111,585,625","6,223",69.1%,,,,,"$13,228",2.14,$22.61,"$9,100",,,,,,,,,,,,,,,,,,,,,,,
Associated School Employees,68587,5,Youngstown,,USA,OH,Midwest,"$185,322,558",Small,"14,031","$166,190,483","22,847","$119,611,785","6,779",72.0%,,,,,"$13,208",2.11,$18.17,"$9,647",,,,,,,,,,,,,,,,,,,,,,,
Stark,14120,5,Canton,,USA,OH,Midwest,"$185,104,672",Small,"15,867","$162,041,703","26,480","$104,836,037","8,047",64.7%,,,,,"$11,666",2.18,$46.82,"$7,730",,,,,,,,,,,,,,,,,,,,,,,
Awakon,7465,5,Onaway,,USA,MI,Midwest,"$184,647,658",Small,"14,535","$157,771,937","31,113","$133,797,504","9,092",84.8%,,Y,Y,,"$12,704",2.77,$36.67,"$7,252",,,,,,,,,,,,,,,,,,,,,,,
Multipli,63411,5,Springfield,,USA,MO,South Central,"$184,336,314",Small,"10,431","$138,292,858","23,998","$112,073,502","86,725",81.0%,Y,Y,Y,,"$17,672",10.61,$37.18,"$2,261",,,,,,,,,,,,,,,,,,,,,,,
Government Employees,24465,5,Austin,,USA,TX,South Central,"$184,316,786",Small,"9,885","$168,913,887","16,413","$112,559,498","5,881",66.6%,,,,,"$18,646",2.26,$33.66,"$12,626",,,,,,,,,,,,,,,,,,,,,,,
"Impact Credit Union, Inc.",68150,5,Clyde,,USA,OH,Midwest,"$184,178,822",Small,"14,701","$167,704,240","32,152","$119,062,857","10,184",71.0%,,,,,"$12,528",2.88,$9.96,"$6,774",,,,,,,,,,,,,,,,,,,,,,,
Lisbon Community,13190,5,Lisbon,,USA,ME,New England,"$182,872,445",Small,"10,248","$161,981,978","22,630","$94,712,833","4,769",58.5%,,,,Y,"$17,845",2.67,$48.99,"$9,369",,,,,,,,,,,,,,,,,,,,,,,
Regional,15072,5,Hammond,,USA,IN,Midwest,"$182,803,049",Small,"24,739","$148,224,646","44,783","$105,515,826","9,173",71.2%,,,,,"$7,389",2.18,$15.58,"$4,703",,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,7151,5,Oklahoma City,,USA,OK,South Central,"$182,481,990",Small,"10,572","$151,033,368","17,930","$121,660,418","6,419",80.6%,,,,,"$17,261",2.30,$85.22,"$11,199",,,,,,,,,,,,,,,,,,,,,,,
First Nebraska,65398,5,Omaha,,USA,NE,Midwest,"$182,127,119",Small,"17,028","$153,430,564","27,599","$123,990,615","8,105",80.8%,,,,,"$10,696",2.10,$19.23,"$7,770",,,,,,,,,,,,,,,,,,,,,,,
Allegius,17389,5,Burns Harbor,,USA,IN,Midwest,"$182,119,582",Small,"12,732","$165,614,957","24,491","$99,481,653","6,964",60.1%,,,,,"$14,304",2.47,$12.33,"$8,428",,,,,,,,,,,,,,,,,,,,,,,
Camino,4633,5,Montebello,,USA,CA,Western,"$181,745,769",Small,"12,704","$158,561,844","20,641","$132,771,207","7,374",83.7%,,,,,"$14,306",2.21,$11.61,"$10,399",,,,,,,,,,,,,,,,,,,,,,,
Community,61336,5,New Rockford,,USA,ND,Midwest,"$181,680,888",Small,"4,322","$151,619,554","9,128","$29,371,852",890,19.4%,,,,,"$42,036",2.32,-$83.82,"$18,067",,,,,,,,,,,,,,,,,,,,,,,
P & G Mehoopany Employees,20861,5,Tunkhannock,,USA,PA,Mid-Atlantic,"$181,494,792",Small,"16,146","$158,707,845","28,786","$76,629,328","5,712",48.3%,,,,,"$11,241",2.14,$48.17,"$6,822",,,,,,,,,,,,,,,,,,,,,,,
Horizon Utah,24746,5,Farmington,,USA,UT,Western,"$181,460,154",Small,"12,796","$159,449,811","29,543","$96,840,608","11,446",60.7%,,,,,"$14,181",3.20,-$74.41,"$6,253",,,,,,,,,,,,,,,,,,,,,,,
Discovery,12935,5,Wyomissing,,USA,PA,Mid-Atlantic,"$181,387,078",Small,"8,681","$163,575,521","19,297","$105,093,325","5,436",64.2%,,,,Y,"$20,895",2.85,$17.93,"$10,863",,,,,,,,,,,,,,,,,,,,,,,
Schools,3526,5,Torrance,,USA,CA,Western,"$181,167,544",Small,"16,146","$157,346,958","33,751","$88,759,389","6,089",56.4%,,,,,"$11,221",2.47,$4.56,"$6,177",,,,,,,,,,,,,,,,,,,,,,,
Chattanooga Area Schools,690,5,Chattanooga,,USA,TN,Southeast,"$180,699,511",Small,"12,037","$156,616,724","15,423","$80,039,864","3,933",51.1%,,,,,"$15,012",1.61,-$10.60,"$12,227",,,,,,,,,,,,,,,,,,,,,,,
Railway,60787,5,Mandan,,USA,ND,Midwest,"$180,672,302",Small,"8,167","$157,933,161","15,700","$131,581,552","3,893",83.3%,,,,,"$22,122",2.40,$49.89,"$14,776",,,,,,,,,,,,,,,,,,,,,,,
Maine Highlands,17398,5,Dexter,,USA,ME,New England,"$180,464,332",Small,"14,021","$159,744,915","31,979","$125,355,869","10,985",78.5%,,,,,"$12,871",3.06,$46.79,"$6,636",,,,,,,,,,,,,,,,,,,,,,,
Treasury Department,162,5,Washington,,USA,DC,Mid-Atlantic,"$180,353,228",Small,"12,251","$162,080,956","23,488","$106,058,811","6,358",65.4%,,,,,"$14,722",2.44,$30.27,"$8,984",,,,,,,,,,,,,,,,,,,,,,,
Public Safety,62812,5,Kansas City,,USA,MO,South Central,"$180,336,275",Small,"12,980","$161,473,114","28,150","$120,920,447","89,440",74.9%,,,,,"$13,893",9.06,$35.30,"$2,402",,,,,,,,,,,,,,,,,,,,,,,
Area,274,5,Aberdeen,,USA,SD,Midwest,"$180,200,864",Small,"11,578","$150,596,251","25,338","$115,589,835","7,087",76.8%,,,,,"$15,564",2.80,$48.56,"$8,209",,,,,,,,,,,,,,,,,,,,,,,
Members First CU (UT),67153,5,Brigham City,,USA,UT,Western,"$179,915,856",Small,"13,830","$153,827,403","31,597","$96,942,791","9,392",63.0%,Y,,Y,,"$13,009",2.96,$55.12,"$6,118",,,,,,,,,,Y,,,,,,,,,,,,,
Homefield,68057,5,North Grafton,,USA,MA,New England,"$179,752,492",Small,"7,441","$144,479,148","12,352","$147,048,545","6,159",101.8%,,,,,"$24,157",2.49,-$6.25,"$15,749",,,,,,,,,,,,,,,,,,,,,,,
Members' Advantage,66633,5,Wisconsin Rapid,,USA,WI,Midwest,"$179,606,376",Small,"11,476","$144,665,866","23,352","$120,376,370","7,208",83.2%,,,,Y,"$15,651",2.66,$36.88,"$8,673",,,,,,,,,,,,,,,,,,,,,,,
Northeast Community,67021,5,Elizabethton,,USA,TN,Southeast,"$178,915,464",Small,"12,755","$151,331,331","25,780","$87,189,395","3,042",57.6%,,Y,Y,,"$14,027",2.26,$44.29,"$8,276",,,,,,,,,,,,,,,,,,,,,,,
Journey,20943,5,Saint Johns,,USA,MI,Midwest,"$178,895,805",Small,"17,819","$161,949,933","38,645","$110,213,545","11,643",68.1%,,,,,"$10,040",2.82,$18.84,"$5,412",,,,,,,,,,,,,,,,,,,,,,,
Coloramo FCU,8725,5,Grand Junction,,USA,CO,Western,"$178,707,645",Small,"12,398","$151,365,130","24,452","$136,112,064","5,898",89.9%,,,,,"$14,414",2.45,$7.98,"$9,472",Y,,,,,,,,,,,,,,,,,,,,,,
Statewide,6369,5,Flowood,,USA,MS,Southeast,"$177,256,922",Small,"21,945","$159,024,106","38,963","$104,409,198","13,084",65.7%,,,,,"$8,077",2.37,$9.27,"$5,061",,,,,,,,,,,,,,,,,,,,,,,
Members First CU (TX),67658,5,Corpus Christi,,USA,TX,South Central,"$177,187,000",Small,"12,658","$130,786,615","35,097","$75,572,249","6,017",57.8%,,,,,"$13,998",3.25,$48.60,"$5,019",,,,,,,,,,,,,,,,,,,,,,,
Ripco,67183,5,Rhinelander,,USA,WI,Midwest,"$177,169,915",Small,"12,863","$159,392,251","26,219","$110,142,181","9,017",69.1%,,,,,"$13,774",2.74,-$1.37,"$7,649",,,,,,,,,,,,,,,,,,,,,,,
Northwoods,62847,5,Cloquet,,USA,MN,Midwest,"$177,125,058",Small,"11,853","$161,446,847","24,506","$133,227,715","9,831",82.5%,,,,,"$14,943",2.90,-$7.99,"$8,582",,,,,,,,,,,,,,,,,,,,,,,
Health Advantage,20007,5,Saginaw,,USA,MI,Midwest,"$176,756,729",Small,"11,149","$156,527,152","23,145","$104,028,423","9,547",66.5%,,,,,"$15,854",2.93,$10.57,"$7,970",,,,,,,,,,,,,,,,,,,,,,,
Princeton,21009,5,Princeton,,USA,NJ,Mid-Atlantic,"$176,755,725",Small,"8,137","$143,685,418","14,618","$96,006,982","5,447",66.8%,,,,,"$21,722",2.47,-$0.22,"$11,946",,,,,,,,,,,,,,,,,,,,,,,
Trailhead FCU (Trailhead CU),644,5,Portland,,USA,OR,Cascadia,"$176,735,875",Small,"8,800","$137,195,963","20,799","$114,024,934","5,312",83.1%,,Y,Y,Y,"$20,084",2.97,$9.48,"$9,621",Y,,,,,,,,,,,,,,,,,,,,,,
Georgetown Kraft,60791,5,Georgetown,,USA,SC,Southeast,"$176,463,194",Small,"16,515","$148,368,773","35,502","$108,358,921","11,581",73.0%,,,,,"$10,685",2.85,$38.94,"$5,453",,,,,,,,,,,,,,,,,,,,,,,
Saco Valley,68324,5,Saco,,USA,ME,New England,"$176,424,478",Small,"9,169","$158,630,851","21,481","$146,418,574","5,617",92.3%,,,,Y,"$19,241",2.96,$32.32,"$11,257",,,,,,,,,,,,,,,,,,,,,,,
Mon Valley Community,1911,5,Allenport,,USA,PA,Mid-Atlantic,"$176,413,375",Small,"9,169","$129,689,586","9,277","$44,907,925","1,765",34.6%,,,,,"$19,240",1.20,$145.91,"$15,812",,,,,,,,,,,,,,,,,,,,,,,
Southwest Louisiana,62756,5,Lake Charles,,USA,LA,Southeast,"$176,321,525",Small,"18,790","$146,948,148","33,436","$134,742,275","10,172",91.7%,,Y,Y,,"$9,384",2.32,$0.03,"$6,460",,,,,,,,,,,,,,,,,,,,,,,
Lone Star,68449,5,Dallas,,USA,TX,South Central,"$175,673,288",Small,"11,046","$161,094,497","21,873","$119,884,673","7,123",74.4%,,,,Y,"$15,904",2.63,$12.19,"$9,690",,,,,,,,,,,,,,,,,,,,,,,
Bellco,2531,5,Wyomissing,,USA,PA,Mid-Atlantic,"$175,656,679",Small,"13,277","$161,616,002","27,643","$138,013,135","5,848",85.4%,,,,Y,"$13,230",2.52,$24.69,"$8,947",,,,,,,,,,,,,,,,,,,,,,,
Gateway Metro,24797,5,Saint Louis,,USA,MO,South Central,"$175,645,040",Small,"10,400","$164,381,394","23,883","$103,353,441","5,304",62.9%,,,,,"$16,889",2.81,-$19.04,"$9,173",,,,,,,,,,,,,,,,,,,,,,,
Naveo,68046,5,Somerville,,USA,MA,New England,"$175,065,676",Small,"7,089","$158,700,272","13,315","$109,148,159","1,651",68.8%,Y,,Y,,"$24,695",2.11,$11.06,"$17,897",,,,,,,,,,,,,,,,,,,,,,,
Red Wing,61778,5,Red Wing,,USA,MN,Midwest,"$174,645,597",Small,"9,446","$158,363,844","20,622","$100,286,018","5,435",63.3%,,,,Y,"$18,489",2.76,$59.23,"$9,926",,,,,,,,,,,,,,,,,,,,,,,
Seasons,854,5,Middletown,,USA,CT,New England,"$174,280,684",Small,"13,266","$161,614,524","30,842","$122,062,906","12,793",75.5%,,,,,"$13,137",3.29,-$13.87,"$6,501",,,,,,,,,,,,,,,,,,,,,,,
Alive CU,67316,5,Jacksonville,,USA,FL,Southeast,"$174,171,236",Small,"13,587","$154,296,799","25,812","$92,894,293","5,242",60.2%,Y,,Y,,"$12,819",2.29,$5.95,"$7,960",,,,,,,,,,Y,,,,,,,,,,,,,
Providence FCU (PCU),19522,5,Portland,Milwaukie,USA,OR,Cascadia,"$174,013,505",Small,"15,277","$141,268,992","30,065","$104,248,442","6,565",73.8%,,,,,"$11,391",2.40,-$49.53,"$6,703",Y,,,,,,,,,,,,,,,,,,,,,,
South Metro,24482,5,Prior Lake,,USA,MN,Midwest,"$173,988,609",Small,"4,934","$151,372,812","10,346","$117,693,670","3,564",77.8%,,,,,"$35,263",2.82,-$23.50,"$19,343",,,,,,,,,,,,,,,,,,,,,,,
Police FCU (MD),16401,5,Upper Marlboro,,USA,MD,Mid-Atlantic,"$173,760,030",Small,"13,718","$144,582,814","25,362","$117,478,071","5,602",81.3%,,,,,"$12,667",2.26,$2.90,"$8,463",,,,,,,,,,,,,,,,,,,,,,,
NW Preferred FCU,3853,5,Tigard,,USA,OR,Cascadia,"$173,666,606",Small,"8,691","$148,350,992","17,554","$131,752,522","4,555",88.8%,,,,Y,"$19,982",2.54,$29.74,"$12,669",,,,,,,,,,,,,,,,,,,,,,,
E-Central CU,62323,5,Los Angeles,Pasadena,USA,CA,Western,"$173,436,508",Small,"9,928","$133,037,041","21,217","$133,824,767","2,419",100.6%,,,,,"$17,469",2.38,$38.00,"$11,290",Y,,,,,,,,,,,,,,,,,,,,,,
Kauai,5487,5,Lihue,,USA,HI,Western,"$172,884,590",Small,"7,542","$122,566,036","14,006","$131,374,562","6,182",107.2%,Y,Y,Y,,"$22,923",2.68,-$46.89,"$12,579",,,,,,,,,,,,,,,,,,,,,,,
Star Usa,911,5,Charleston,,USA,WV,Mid-Atlantic,"$172,508,626",Small,"15,087","$125,227,466","18,328","$115,956,898","5,321",92.6%,,,,,"$11,434",1.57,-$4.55,"$10,199",,,,,,,,,,,,,,,,,,,,,,,
Trupartner,95802,5,Cincinnati,,USA,OH,Midwest,"$172,485,410",Small,"15,173","$152,576,685","29,878","$88,247,742","12,696",57.8%,,,,,"$11,368",2.81,-$5.19,"$5,657",,,,,,,,,,,,,,,,,,,,,,,
Compass Community,61933,5,Eureka,,USA,CA,Western,"$172,210,051",Small,"6,237","$152,613,673","9,075","$112,754,636","1,885",73.9%,,,,,"$27,611",1.76,-$24.24,"$24,212",,,,,,,,,,,,,,,,,,,,,,,
Lincone,10585,5,Lincoln,,USA,NE,Midwest,"$172,200,030",Small,"17,672","$152,586,228","27,595","$84,552,159","9,525",55.4%,,,,,"$9,744",2.10,$27.23,"$6,388",,,,,,,,,,,,,,,,,,,,,,,
Central Coast,14455,5,Seaside,,USA,CA,Western,"$172,109,348",Small,"15,276","$166,433,258","27,046","$105,704,389","6,390",63.5%,,,,,"$11,267",2.19,-$65.12,"$8,139",,,,,,,,,,,,,,,,,,,,,,,
Sierra Pacific,1000,5,Reno,,USA,NV,Western,"$171,350,313",Small,"10,435","$149,052,295","17,027","$103,618,953","4,392",69.5%,,,,,"$16,421",2.05,$31.26,"$11,797",,,,,,,,,,,,,,,,,,,,,,,
First Central CU,67644,5,Waco,,USA,TX,South Central,"$171,045,393",Small,"19,948","$129,972,247","38,474","$90,499,962","8,777",69.6%,Y,Y,Y,,"$8,575",2.37,$25.95,"$4,666",,,,,,,,,,Y,,,,,,,,,,,,,
Kelly Community,15467,5,Tyler,,USA,TX,South Central,"$170,960,246",Small,"9,765","$150,100,031","20,900","$118,193,389","4,432",78.7%,,,,,"$17,507",2.59,-$19.32,"$10,591",,,,,,,,,,,,,,,,,,,,,,,
Achieve,97094,5,Elyria,,USA,OH,Midwest,"$170,414,959",Small,"11,039","$156,541,340","21,032","$66,476,644","9,008",42.5%,,,,,"$15,438",2.72,$18.89,"$7,424",,,,,,,,,,,,,,,,,,,,,,,
Cooperative Choice Network,63783,5,Peoria,,USA,IL,Midwest,"$170,325,505",Small,"11,549","$149,014,389","23,977","$100,927,818","107,078",67.7%,,,,,"$14,748",11.35,$0.06,"$1,907",,,,,,,,,,,,,,,,,,,,,,,
Financial Trust,6870,5,Cheektowaga,,USA,NY,Mid-Atlantic,"$170,305,358",Small,"13,602","$145,422,204","23,027","$89,092,071","5,846",61.3%,,,,,"$12,521",2.12,$49.66,"$8,122",,,,,,,,,,,,,,,,,,,,,,,
Mil-way,24197,5,Texarkana,,USA,AR,South Central,"$170,191,793",Small,"12,709","$150,924,608","23,181","$90,525,974","6,147",60.0%,,,,,"$13,391",2.31,$12.00,"$8,233",,,,,,,,,,,,,,,,,,,,,,,
Mid Carolina,60735,5,Lugoff,,USA,SC,Southeast,"$169,942,188",Small,"14,327","$145,918,782","24,107","$104,032,501","6,204",71.3%,,,,,"$11,862",2.12,$21.36,"$8,246",,,,,,,,,,,,,,,,,,,,,,,
Ascent,11520,5,Ogden,,USA,UT,Western,"$169,937,308",Small,"9,155","$148,247,608","22,284","$140,219,271","8,101",94.6%,,,,,"$18,562",3.32,-$15.15,"$9,494",,,,,,,,,,,,,,,,,,,,,,,
Torrance Community,12543,5,Torrance,,USA,CA,Western,"$169,934,870",Small,"7,699","$148,875,751","16,046","$55,666,909","2,375",37.4%,,,,,"$22,072",2.39,$20.96,"$11,104",,,,,,,,,,,,,,,,,,,,,,,
Diamond Valley,14135,5,Evansville,,USA,IN,Midwest,"$169,818,965",Small,"22,131","$148,823,012","40,298","$78,039,255","7,236",52.4%,,,,,"$7,673",2.15,$4.38,"$4,773",,,,,,,,,,,,,,,,,,,,,,,
Ontario Montclair School Employees,14542,5,Ontario,,USA,CA,Western,"$169,779,768",Small,"9,824","$148,060,974","20,704","$83,127,057","8,529",56.1%,,Y,Y,,"$17,282",2.98,$24.16,"$7,908",,,,,,,,,,,,,,,,,,,,,,,
San Joaquin Power Employees,66788,5,Fresno,,USA,CA,Western,"$169,454,206",Small,"6,482","$142,923,272","6,594","$118,219,375","2,685",82.7%,,,,,"$26,142",1.43,-$11.70,"$28,143",,,,,,,,,,,,,,,,,,,,,,,
Municipal Emps Cu Of Oklahoma City,65503,5,Oklahoma City,,USA,OK,South Central,"$169,392,686",Small,"9,904","$146,742,589","17,038","$122,019,966","5,865",83.2%,,,,,"$17,103",2.31,$1.11,"$11,735",,,,,,,,,,,,,,,,,,,,,,,
Riegel,13944,5,Milford,,USA,NJ,Mid-Atlantic,"$169,371,913",Small,"8,313","$151,659,602","14,405","$46,758,085","9,055",30.8%,,,,Y,"$20,374",2.82,$2.92,"$8,458",,,,,,,,,,,,,,,,,,,,,,,
Excel,7825,5,Atlanta,Norcross,USA,GA,Southeast,"$169,203,850",Small,"14,176","$119,807,501","25,717","$104,305,678","4,698",87.1%,,,,,"$11,936",2.15,$12.35,"$7,369",,,,,,,,,,,,,,,,,,,,,,,
Ne Pa Community,13458,5,Stroudsburg,,USA,PA,Mid-Atlantic,"$169,099,492",Small,"12,750","$153,787,914","27,299","$71,412,916","5,937",46.4%,,,,,"$13,263",2.61,$9.00,"$6,776",,,,,,,,,,,,,,,,,,,,,,,
Appalachian Community,24495,5,Kingsport,,USA,TN,Southeast,"$168,565,246",Small,"12,397","$148,331,339","24,130","$146,266,258","7,046",98.6%,,Y,Y,Y,"$13,597",2.51,$8.41,"$9,449",,,,,,,,,,,,,,,,,,,,,,,
Aspire Community,1888,5,Minot,,USA,ND,Midwest,"$168,558,886",Small,"6,417","$145,639,762","14,122","$143,136,499","4,124",98.3%,,,,Y,"$26,268",2.84,$119.18,"$15,827",,,,,,,,,,,,,,,,,,,,,,,
First Choice Financial,21012,5,Gloversville,,USA,NY,Mid-Atlantic,"$167,971,600",Small,"13,343","$152,289,777","25,360","$83,575,928","4,933",54.9%,,,,,"$12,589",2.27,$42.45,"$7,786",,,,,,,,,,,,,,,,,,,,,,,
Polish-american,22280,5,Troy,,USA,MI,Midwest,"$167,938,454",Small,"6,996","$147,278,822","13,659","$106,385,492","2,834",72.2%,,,,,"$24,005",2.36,$92.50,"$15,380",,,,,,,,,,,,,,,,,,,,,,,
Pinellas,10880,5,Largo,,USA,FL,Southeast,"$167,893,963",Small,"11,729","$146,499,208","17,700","$100,003,808","4,494",68.3%,,,,,"$14,314",1.89,$16.97,"$11,107",,,,,,,,,,,,,,,,,,,,,,,
Omega,3711,5,Wexford,,USA,PA,Mid-Atlantic,"$167,750,045",Small,"13,483","$148,731,656","30,945","$124,440,089","7,003",83.7%,,,,,"$12,442",2.81,$27.29,"$7,199",,,,,,,,,,,,,,,,,,,,,,,
First Trust,68596,5,Michigan City,,USA,IN,Midwest,"$167,458,901",Small,"14,174","$147,606,873","30,004","$46,537,184","3,575",31.5%,,,,,"$11,815",2.37,$30.48,"$5,782",,,,,,,,,,,,,,,,,,,,,,,
Libertyone,61604,5,Arlington,,USA,TX,South Central,"$167,327,188",Small,"9,261","$146,696,737","17,421","$130,030,311","8,137",88.6%,,,,Y,"$18,068",2.76,$3.81,"$10,827",,,,,,,,,,,,,,,,,,,,,,,
Hello,63262,5,Panama City,,USA,FL,Southeast,"$167,257,319",Small,"11,829","$142,776,913","22,381","$109,086,555","6,668",76.4%,,Y,Y,,"$14,140",2.46,$17.52,"$8,670",,,,,,,,,,,,,,,,,,,,,,,
Community Credit Union Of Lynn,67558,5,Lynn,,USA,MA,New England,"$166,977,593",Small,"3,726","$132,816,166","11,503","$117,481,635","3,729",88.5%,,,,,"$44,814",4.09,-$84.94,"$16,432",,,,,,,,,,,,,,,,,,,,,,,
